"","Samples","Time","Treatment","Fragment","TreatmentTank","Antibiotic","Dose","Pretreatment","PretreatmentAbx","PretreatmentDose","Tank","CoralID","Sample_control","quant_reading","PreQC","PostQC","is.neg","PostDecontam","Observed","Shannon","InvSimpson","PD","SR"
"227","G7_T12_S2_2_b","12","Streptomycin High","b","S2_2","Streptomycin","High","Streptomycin High","Streptomycin","High","17","S2_2_b","True Sample"," 1.800"," 50015","10690","FALSE"," 8928",14,2.23437986148001,7.8156946651944,2.44513,14
"228","G7_T12_S2_2_c","12","Streptomycin High","c","S2_2","Streptomycin","High","Streptomycin High","Streptomycin","High","17","S2_2_c","True Sample","11.700"," 71661","10533","FALSE"," 9702",11,1.21105640497877,1.94389302678918,1.63019,11
"229","G7_T12_S2_2_d","12","Streptomycin High","d","S2_2","Streptomycin","High","Streptomycin High","Streptomycin","High","17","S2_2_d","True Sample"," 1.700"," 44281"," 7453","FALSE"," 5476",8,1.49499092469656,3.13698091435716,1.56869,8
"230","G7_T12_S2_3_a","12","Streptomycin High","a","S2_3","Streptomycin","High","Streptomycin High","Streptomycin","High","18","S2_3_a","True Sample"," 2.500"," 57314"," 8338","FALSE"," 5413",11,1.87414204466298,5.34258355373271,1.79922,11
"231","G7_T12_S2_3_b","12","Streptomycin High","b","S2_3","Streptomycin","High","Streptomycin High","Streptomycin","High","18","S2_3_b","True Sample"," 3.900"," 41343"," 6827","FALSE"," 4057",10,1.54050792156083,3.48417412097325,1.7722,10
"232","G7_T12_S2_3_c","12","Streptomycin High","c","S2_3","Streptomycin","High","Streptomycin High","Streptomycin","High","18","S2_3_c","True Sample"," 6.100"," 95194","18826","FALSE","17590",25,1.85707466336805,3.00350665408878,3.72485,25
"233","G7_T12_S2_3_d","12","Streptomycin High","d","S2_3","Streptomycin","High","Streptomycin High","Streptomycin","High","18","S2_3_d","True Sample"," 2.800"," 57213","12286","FALSE","11192",11,1.19904376184892,2.1958837193492,1.7793,11
"234","G7_T24_A1_1_a","24","Ampicillin Low","a","A1_1","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","7","A1_1_a","True Sample"," 4.600"," 69671","15314","FALSE","14758",13,1.90353401112291,5.11617607995314,2.11582,13
"235","G7_T24_A1_1_b","24","Ampicillin Low","b","A1_1","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","7","A1_1_b","True Sample"," 5.400"," 72672","13060","FALSE"," 9128",14,1.85165813967429,4.63774396388348,2.05646,14
"236","G7_T24_A1_1_c","24","Ampicillin Low","c","A1_1","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","7","A1_1_c","True Sample"," 3.200"," 64476","15257","FALSE","10193",23,2.26872706764185,6.01717735654327,3.51546,23
"237","G7_T24_A1_1_d","24","Ampicillin Low","d","A1_1","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","7","A1_1_d","True Sample"," 3.300"," 59402"," 9481","FALSE"," 8429",16,1.88534809929523,4.26931961048777,2.33285,16
"238","G7_T24_A1_2_a","24","Ampicillin Low","a","A1_2","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","8","A1_2_a","True Sample"," 2.300"," 63008","12841","FALSE"," 8375",12,2.01393776186784,5.63678539089528,2.22367,12
"239","G7_T24_A1_2_b","24","Ampicillin Low","b","A1_2","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","8","A1_2_b","True Sample"," 4.500"," 63236","12669","FALSE"," 9491",15,2.10461603140944,6.26933148362977,1.72885,15
"240","G7_T24_A1_2_c","24","Ampicillin Low","c","A1_2","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","8","A1_2_c","True Sample"," 3.200"," 84890","17860","FALSE","14241",21,2.35981551792481,7.43848816596041,2.89841,21
"241","G7_T24_A1_2_d","24","Ampicillin Low","d","A1_2","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","8","A1_2_d","True Sample"," 4.000"," 79933","17399","FALSE","12085",16,2.3729838462321,8.47719701819681,2.38855,16
"242","G7_T24_A1_3_a","24","Ampicillin Low","a","A1_3","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","9","A1_3_a","True Sample"," 4.800"," 35924"," 3353","FALSE"," 2516",12,1.82986760455999,4.42734581648663,1.6549,12
"243","G7_T24_A1_3_b","24","Ampicillin Low","b","A1_3","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","9","A1_3_b","True Sample","20.000"," 71358"," 3555","FALSE"," 3544",10,1.43957083539873,2.83223606176471,1.92512,10
"244","G7_T24_A1_3_c","24","Ampicillin Low","c","A1_3","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","9","A1_3_c","True Sample"," 4.900"," 58450","13115","FALSE","12437",14,2.05352557817801,6.42017310841156,2.2069,14
"245","G7_T24_A1_3_d","24","Ampicillin Low","d","A1_3","Ampicillin","Low","Ampicillin Low","Ampicillin","Low","9","A1_3_d","True Sample"," 3.200"," 79782","15296","FALSE","12358",15,1.9678534548845,5.58622018019806,1.98201,15
"246","G7_T24_A2_1_a","24","Ampicillin High","a","A2_1","Ampicillin","High","Ampicillin High","Ampicillin","High","10","A2_1_a","True Sample"," 3.000"," 62739","13334","FALSE","11766",12,1.78680651102076,4.29571274122145,1.68893,12
"247","G7_T24_A2_1_b","24","Ampicillin High","b","A2_1","Ampicillin","High","Ampicillin High","Ampicillin","High","10","A2_1_b","True Sample"," 3.100"," 58129","11665","FALSE","11553",15,1.67553200155807,3.96286698526004,2.31319,15
"248","G7_T24_A2_1_c","24","Ampicillin High","c","A2_1","Ampicillin","High","Ampicillin High","Ampicillin","High","10","A2_1_c","True Sample"," 3.800"," 56573","10799","FALSE"," 8901",11,1.92999787057694,5.63126478207005,1.68959,11
"249","G7_T24_A2_1_d","24","Ampicillin High","d","A2_1","Ampicillin","High","Ampicillin High","Ampicillin","High","10","A2_1_d","True Sample"," 3.600"," 69032","14507","FALSE"," 9880",15,2.35266832835057,8.84629457028593,2.32588,15
"250","G7_T24_A2_2_a","24","Ampicillin High","a","A2_2","Ampicillin","High","Ampicillin High","Ampicillin","High","11","A2_2_a","True Sample"," 6.400"," 50348","10864","FALSE"," 9948",13,2.12017815436313,6.53195852154083,1.74455,13
"251","G7_T24_A2_2_b","24","Ampicillin High","b","A2_2","Ampicillin","High","Ampicillin High","Ampicillin","High","11","A2_2_b","True Sample"," 6.500"," 56132","11151","FALSE"," 9094",12,1.55752620700763,3.54456080056032,1.74272,12
"252","G7_T24_A2_2_c","24","Ampicillin High","c","A2_2","Ampicillin","High","Ampicillin High","Ampicillin","High","11","A2_2_c","True Sample","20.100"," 69262","13270","FALSE","12842",39,2.98240612453212,11.6476375329745,4.88312,39
"253","G7_T24_A2_2_d","24","Ampicillin High","d","A2_2","Ampicillin","High","Ampicillin High","Ampicillin","High","11","A2_2_d","True Sample"," 6.900"," 64714","11968","FALSE","11968",21,2.00243681807102,3.85957924410912,3.1347,21
"254","G7_T24_A2_3_a","24","Ampicillin High","a","A2_3","Ampicillin","High","Ampicillin High","Ampicillin","High","12","A2_3_a","True Sample","12.200"," 56067","12139","FALSE","10927",31,2.30035888319751,4.579665479251,4.04085,31
"255","G7_T24_A2_3_b","24","Ampicillin High","b","A2_3","Ampicillin","High","Ampicillin High","Ampicillin","High","12","A2_3_b","True Sample","11.200"," 76950","13531","FALSE","13104",22,2.07566256166855,4.2680047487528,2.6758,22
"256","G7_T24_A2_3_c","24","Ampicillin High","c","A2_3","Ampicillin","High","Ampicillin High","Ampicillin","High","12","A2_3_c","True Sample"," 4.200"," 59938"," 6261","FALSE"," 4046",9,1.53522140749199,3.29393300846387,1.51424,9
"257","G7_T24_A2_3_d","24","Ampicillin High","d","A2_3","Ampicillin","High","Ampicillin High","Ampicillin","High","12","A2_3_d","True Sample"," 3.300"," 43087"," 7389","FALSE"," 6156",14,1.48177441390097,2.75481607966311,2.05544,14
"258","G7_T24_B2_a","24","Blank","a","B2","Blank","Blank","Blank","Blank","Blank","2","B2_a","True Sample"," 9.800"," 73771","15156","FALSE","14907",6,0.291016272491528,1.11566132342245,1.2907,6
"259","G7_T24_B2_b","24","Blank","b","B2","Blank","Blank","Blank","Blank","Blank","2","B2_b","True Sample","15.600"," 71498","14706","FALSE","14543",14,0.591779164969769,1.27638126917635,2.65407,14
"260","G7_T24_B2_c","24","Blank","c","B2","Blank","Blank","Blank","Blank","Blank","2","B2_c","True Sample"," 2.400"," 47172"," 7282","FALSE"," 4754",11,1.69348991936548,3.76400138030469,1.76808,11
"261","G7_T24_B2_d","24","Blank","d","B2","Blank","Blank","Blank","Blank","Blank","2","B2_d","True Sample","15.000"," 76827"," 9105","FALSE"," 8605",49,3.26392278427068,18.3292788968414,5.40086,49
"262","G7_T24_B3_a","24","Blank","a","B3","Blank","Blank","Blank","Blank","Blank","3","B3_a","True Sample"," 7.300"," 74441","14219","FALSE","13417",17,1.61267779147401,3.03706999037127,2.9455,17
"263","G7_T24_B3_b","24","Blank","b","B3","Blank","Blank","Blank","Blank","Blank","3","B3_b","True Sample","10.400"," 75105","15073","FALSE","14983",8,0.710578704490803,1.45976843167852,1.17622,8
"264","G7_T24_B3_c","24","Blank","c","B3","Blank","Blank","Blank","Blank","Blank","3","B3_c","True Sample"," 3.500"," 63364","12381","FALSE","11916",8,1.04173975296847,2.08885975997163,1.20268,8
"265","G7_T24_B3_d","24","Blank","d","B3","Blank","Blank","Blank","Blank","Blank","3","B3_d","True Sample"," 4.600"," 73862","14195","FALSE","13799",12,1.277071512456,2.19236782389779,1.87877,12
"266","G7_T24_B4_a","24","Blank","a","B4","Blank","Blank","Blank","Blank","Blank","4","B4_a","True Sample"," 9.500"," 85992","17123","FALSE","15288",26,2.05391456782099,5.21284678984554,2.56503,26
"267","G7_T24_B4_b","24","Blank","b","B4","Blank","Blank","Blank","Blank","Blank","4","B4_b","True Sample"," 9.500"," 80541"," 8822","FALSE"," 7763",22,2.4646383128162,7.57675403371231,3.47315,22
"268","G7_T24_B4_c","24","Blank","c","B4","Blank","Blank","Blank","Blank","Blank","4","B4_c","True Sample"," 2.400"," 75366","15480","FALSE","14151",14,1.68194147076686,3.32077725315401,1.97934,14
"269","G7_T24_B4_d","24","Blank","d","B4","Blank","Blank","Blank","Blank","Blank","4","B4_d","True Sample"," 8.900"," 80874","17672","FALSE","17354",21,2.10446777137265,5.26034056707313,2.99158,21
"270","G7_T24_B5_a","24","Blank","a","B5","Blank","Blank","Blank","Blank","Blank","5","B5_a","True Sample","11.500"," 76873","15191","FALSE","14070",19,1.40248551217198,2.59299141387939,2.11129,19
"271","G7_T24_B5_b","24","Blank","b","B5","Blank","Blank","Blank","Blank","Blank","5","B5_b","True Sample"," 2.600"," 61844","13290","FALSE","11414",17,1.79469415598428,4.036243529498,2.3647,17
"272","G7_T24_B5_c","24","Blank","c","B5","Blank","Blank","Blank","Blank","Blank","5","B5_c","True Sample"," 7.600"," 53775","10529","FALSE"," 9078",11,1.92623688765952,5.51758476334417,1.35258,11
"273","G7_T24_B5_d","24","Blank","d","B5","Blank","Blank","Blank","Blank","Blank","5","B5_d","True Sample"," 2.300"," 71189","13730","FALSE"," 9142",12,1.10483964529594,1.81028581226873,1.86996,12
"274","G7_T24_B6_a","24","Blank","a","B6","Blank","Blank","Blank","Blank","Blank","6","B6_a","True Sample"," 9.100"," 69872","13920","FALSE","13550",21,1.96466581520318,3.79655910255417,3.04728,21
"275","G7_T24_B6_b","24","Blank","b","B6","Blank","Blank","Blank","Blank","Blank","6","B6_b","True Sample","11.300"," 76053","16393","FALSE","15879",24,2.1053663220216,5.01673381732106,3.21847,24
"276","G7_T24_B6_c","24","Blank","c","B6","Blank","Blank","Blank","Blank","Blank","6","B6_c","True Sample"," 1.900"," 59602","10160","FALSE"," 9553",8,1.34307786060259,2.71217331872376,1.41626,8
"277","G7_T24_B6_d","24","Blank","d","B6","Blank","Blank","Blank","Blank","Blank","6","B6_d","True Sample"," 6.400"," 59358","11705","FALSE","10889",8,1.35172534818106,3.09188590198969,1.18301,8
"278","G7_T24_C1_1_a","24","Ciprofloxacin Low","a","C1_1","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","19","C1_1_a","True Sample"," 4.000"," 63772","12802","FALSE","10067",26,2.64563981957822,10.3395936126126,4.24403,26
"279","G7_T24_C1_1_b","24","Ciprofloxacin Low","b","C1_1","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","19","C1_1_b","True Sample","14.300"," 67601","10374","FALSE"," 8963",32,3.17202489832552,20.0326612509035,4.3807,32
"280","G7_T24_C1_1_c","24","Ciprofloxacin Low","c","C1_1","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","19","C1_1_c","True Sample","12.000"," 67639","13575","FALSE","12722",15,1.03995600548739,1.92997018273266,2.10633,15
"281","G7_T24_C1_1_d","24","Ciprofloxacin Low","d","C1_1","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","19","C1_1_d","True Sample"," 3.300"," 66801","11859","FALSE"," 9350",10,1.08166062326031,1.98269000594173,1.81346,10
"282","G7_T24_C1_2_a","24","Ciprofloxacin Low","a","C1_2","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","20","C1_2_a","True Sample"," 4.600"," 53832"," 6403","FALSE"," 5701",10,1.18832079201998,2.45278246586266,1.83643,10
"283","G7_T24_C1_2_b","24","Ciprofloxacin Low","b","C1_2","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","20","C1_2_b","True Sample"," 7.300"," 71513"," 8677","FALSE"," 7312",21,2.57856772925466,10.6974937055947,3.90851,21
"284","G7_T24_C1_2_c","24","Ciprofloxacin Low","c","C1_2","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","20","C1_2_c","True Sample"," 2.400"," 60448","11463","FALSE","10293",13,1.39144128223593,2.47675466675068,2.15583,13
"285","G7_T24_C1_2_d","24","Ciprofloxacin Low","d","C1_2","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","20","C1_2_d","True Sample","11.900"," 60554"," 7638","FALSE"," 7275",30,2.97288588449524,15.082064529518,3.82675,30
"286","G7_T24_C1_3_a","24","Ciprofloxacin Low","a","C1_3","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","21","C1_3_a","True Sample"," 4.600"," 62082","13914","FALSE","13914",9,1.44718704693507,3.42700479780672,2.32257,9
"287","G7_T24_C1_3_b","24","Ciprofloxacin Low","b","C1_3","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","21","C1_3_b","True Sample","15.600"," 66319","11329","FALSE"," 8751",42,3.20148487642614,19.4255024211946,5.53872,42
"288","G7_T24_C1_3_c","24","Ciprofloxacin Low","c","C1_3","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","21","C1_3_c","True Sample"," 2.300"," 34497"," 5827","FALSE"," 5327",12,1.87315202905517,5.00016000512016,1.89705,12
"289","G7_T24_C1_3_d","24","Ciprofloxacin Low","d","C1_3","Ciprofloxacin","Low","Ciprofloxacin Low","Ciprofloxacin","Low","21","C1_3_d","True Sample"," 5.000"," 52505","11061","FALSE","10950",13,1.38524776254023,2.51385688190443,2.01077,13
"290","G7_T24_C2_1_a","24","Ciprofloxacin High","a","C2_1","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","22","C2_1_a","True Sample"," 5.500"," 54193","11847","FALSE","11475",22,2.29994639717234,7.14670411158463,3.9555,22
"291","G7_T24_C2_1_b","24","Ciprofloxacin High","b","C2_1","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","22","C2_1_b","True Sample","12.900"," 70329"," 4392","FALSE"," 4384",16,2.4921228960612,10.1994679051423,2.61475,16
"292","G7_T24_C2_1_c","24","Ciprofloxacin High","c","C2_1","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","22","C2_1_c","True Sample"," 6.600"," 62685"," 2917","FALSE"," 2270",13,2.02570036525593,6.27190889793375,2.39695,13
"293","G7_T24_C2_1_d","24","Ciprofloxacin High","d","C2_1","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","22","C2_1_d","True Sample"," 3.300"," 61967"," 7226","FALSE"," 6011",9,1.61553621345048,3.91956058276654,1.74881,9
"294","G7_T24_C2_2_a","24","Ciprofloxacin High","a","C2_2","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","23","C2_2_a","True Sample"," 8.700"," 58585","11605","FALSE","11594",15,2.05706665334521,4.80476325009561,2.42876,15
"295","G7_T24_C2_2_b","24","Ciprofloxacin High","b","C2_2","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","23","C2_2_b","True Sample"," 2.500"," 63971","12264","FALSE"," 9528",9,1.51873141388085,3.90945942184412,1.56324,9
"296","G7_T24_C2_2_c","24","Ciprofloxacin High","c","C2_2","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","23","C2_2_c","True Sample"," 4.700"," 70519","12714","FALSE","11802",18,1.74900796898354,3.90409786605134,3.03502,18
"297","G7_T24_C2_2_d","24","Ciprofloxacin High","d","C2_2","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","23","C2_2_d","True Sample"," 5.600"," 65017","11858","FALSE","11858",11,1.52304270212095,3.23804920228715,1.53978,11
"298","G7_T24_C2_3_a","24","Ciprofloxacin High","a","C2_3","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","24","C2_3_a","True Sample","13.600"," 67118"," 2837","FALSE"," 2837",15,2.3745340225759,8.9543981988617,2.81807,15
"299","G7_T24_C2_3_b","24","Ciprofloxacin High","b","C2_3","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","24","C2_3_b","True Sample"," 2.200"," 55095","10541","FALSE"," 8985",8,1.52942390730689,3.52586830853661,1.70932,8
"300","G7_T24_C2_3_c","24","Ciprofloxacin High","c","C2_3","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","24","C2_3_c","True Sample","10.300"," 69594","12746","FALSE","12612",15,0.989406056469328,1.64709760977148,2.01886,15
"301","G7_T24_C2_3_d","24","Ciprofloxacin High","d","C2_3","Ciprofloxacin","High","Ciprofloxacin High","Ciprofloxacin","High","24","C2_3_d","True Sample"," 4.700"," 53236"," 6178","FALSE"," 5151",7,1.38209945043726,3.37300800266387,1.19681,7
"302","G7_T24_M1_1_a","24","Mixture Low","a","M1_1","Mixture","Low","Mixture Low","Mixture","Low","25","M1_1_a","True Sample","21.700"," 66970"," 6584","FALSE"," 6429",24,1.63616389831906,2.31829440298819,3.42775,24
"303","G7_T24_M1_1_b","24","Mixture Low","b","M1_1","Mixture","Low","Mixture Low","Mixture","Low","25","M1_1_b","True Sample"," 6.600"," 70358","10209","FALSE"," 8559",10,1.48701704912867,3.15956804407825,1.55953,10
"304","G7_T24_M1_1_c","24","Mixture Low","c","M1_1","Mixture","Low","Mixture Low","Mixture","Low","25","M1_1_c","True Sample"," 6.300"," 62787"," 5789","FALSE"," 5595",20,2.61845696464255,9.68163680075346,2.71015,20
"305","G7_T24_M1_1_d","24","Mixture Low","d","M1_1","Mixture","Low","Mixture Low","Mixture","Low","25","M1_1_d","True Sample"," 6.000"," 63218"," 9613","FALSE"," 8805",12,1.85512065593442,5.16458712844411,2.07462,12
"306","G7_T24_M1_2_a","24","Mixture Low","a","M1_2","Mixture","Low","Mixture Low","Mixture","Low","26","M1_2_a","True Sample"," 5.100"," 52968"," 5608","FALSE"," 5263",15,2.14997053225702,5.78943858193028,2.45257,15
"307","G7_T24_M1_2_b","24","Mixture Low","b","M1_2","Mixture","Low","Mixture Low","Mixture","Low","26","M1_2_b","True Sample"," 3.500"," 62750"," 9050","FALSE"," 7939",19,2.33144818253438,7.59498439382607,2.47089,19
"308","G7_T24_M1_2_c","24","Mixture Low","c","M1_2","Mixture","Low","Mixture Low","Mixture","Low","26","M1_2_c","True Sample","11.900"," 56549","10499","FALSE"," 9558",39,3.41749343679773,25.8294348106392,5.38506,39
"309","G7_T24_M1_2_d","24","Mixture Low","d","M1_2","Mixture","Low","Mixture Low","Mixture","Low","26","M1_2_d","True Sample","14.700"," 65220"," 4591","FALSE"," 2988",16,2.35445707424186,8.44297678218833,3.69548,16
"310","G7_T24_M1_3_a","24","Mixture Low","a","M1_3","Mixture","Low","Mixture Low","Mixture","Low","27","M1_3_a","True Sample"," 5.300"," 51262"," 6046","FALSE"," 5622",16,1.74414529572941,2.94069281311144,2.7422,16
"311","G7_T24_M1_3_b","24","Mixture Low","b","M1_3","Mixture","Low","Mixture Low","Mixture","Low","27","M1_3_b","True Sample"," 3.500"," 75247"," 5904","FALSE"," 4665",8,1.29026071350632,2.97538370004738,1.37323,8
"312","G7_T24_M1_3_c","24","Mixture Low","c","M1_3","Mixture","Low","Mixture Low","Mixture","Low","27","M1_3_c","True Sample"," 6.400"," 63882"," 5808","FALSE"," 5514",9,1.92683935726588,6.17073383847783,1.64086,9
"313","G7_T24_M1_3_d","24","Mixture Low","d","M1_3","Mixture","Low","Mixture Low","Mixture","Low","27","M1_3_d","True Sample"," 2.000"," 43193"," 6094","FALSE"," 5024",9,1.52894613306625,3.70963252083478,1.54573,9
"314","G7_T24_M2_1_a","24","Mixture High","a","M2_1","Mixture","High","Mixture High","Mixture","High","28","M2_1_a","True Sample"," 7.300"," 64380"," 8222","FALSE"," 7973",17,2.16654283948029,5.6277989858256,2.14381,17
"315","G7_T24_M2_1_b","24","Mixture High","b","M2_1","Mixture","High","Mixture High","Mixture","High","28","M2_1_b","True Sample"," 3.500"," 59420","11174","FALSE","10792",15,2.19261869151889,7.11632747403394,1.82049,15
"316","G7_T24_M2_1_c","24","Mixture High","c","M2_1","Mixture","High","Mixture High","Mixture","High","28","M2_1_c","True Sample"," 3.500"," 55635"," 7346","FALSE"," 6888",13,1.88860200013144,4.84391360318195,2.25019,13
"317","G7_T24_M2_1_d","24","Mixture High","d","M2_1","Mixture","High","Mixture High","Mixture","High","28","M2_1_d","True Sample"," 2.700"," 56954"," 8386","FALSE"," 7563",10,1.81110125827764,4.40828164476162,1.69013,10
"318","G7_T24_M2_2_a","24","Mixture High","a","M2_2","Mixture","High","Mixture High","Mixture","High","29","M2_2_a","True Sample"," 3.000"," 63804"," 9456","FALSE"," 7499",27,2.7149307388663,11.3024796736206,3.35628,27
"319","G7_T24_M2_2_b","24","Mixture High","b","M2_2","Mixture","High","Mixture High","Mixture","High","29","M2_2_b","True Sample"," 2.400"," 57163"," 8520","FALSE"," 5619",10,1.55584468319801,3.48013081950956,1.32656,10
"320","G7_T24_M2_2_c","24","Mixture High","c","M2_2","Mixture","High","Mixture High","Mixture","High","29","M2_2_c","True Sample"," 2.500"," 54563"," 7296","FALSE"," 5605",17,2.39703405094174,9.50774234474617,3.10108,17
"321","G7_T24_M2_2_d","24","Mixture High","d","M2_2","Mixture","High","Mixture High","Mixture","High","29","M2_2_d","True Sample"," 5.800"," 63276"," 4480","FALSE"," 3695",22,2.64923196534714,11.6564135821674,3.3973,22
"322","G7_T24_M2_3_a","24","Mixture High","a","M2_3","Mixture","High","Mixture High","Mixture","High","30","M2_3_a","True Sample"," 2.400"," 45210"," 4185","FALSE"," 3048",8,1.38511830479252,3.00478356239881,1.77949,8
"323","G7_T24_M2_3_b","24","Mixture High","b","M2_3","Mixture","High","Mixture High","Mixture","High","30","M2_3_b","True Sample"," 4.500"," 66368"," 3695","FALSE"," 2830",13,1.77026940218956,3.50420219618428,2.35801,13
"324","G7_T24_M2_3_c","24","Mixture High","c","M2_3","Mixture","High","Mixture High","Mixture","High","30","M2_3_c","True Sample"," 2.400"," 64063"," 7180","FALSE"," 6706",11,1.84203209668432,5.47339622922408,1.93767,11
"325","G7_T24_M2_3_d","24","Mixture High","d","M2_3","Mixture","High","Mixture High","Mixture","High","30","M2_3_d","True Sample"," 2.200"," 77381"," 7421","FALSE"," 6696",13,1.43471188357448,3.38360559177367,2.67895,13
"326","G7_T24_S1_1_a","24","Streptomycin Low","a","S1_1","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","13","S1_1_a","True Sample"," 4.800"," 65785","14065","FALSE","12710",19,2.17713056818482,5.61175793480125,2.4612,19
"327","G7_T24_S1_1_b","24","Streptomycin Low","b","S1_1","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","13","S1_1_b","True Sample"," 5.200"," 61284"," 7851","FALSE"," 6919",13,2.2013774772038,7.79245877010065,2.85907,13
"328","G7_T24_S1_1_c","24","Streptomycin Low","c","S1_1","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","13","S1_1_c","True Sample"," 5.700"," 73992","15121","FALSE","14775",15,1.95828669943599,4.45361612251791,2.27616,15
"329","G7_T24_S1_1_d","24","Streptomycin Low","d","S1_1","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","13","S1_1_d","True Sample"," 9.700"," 67112"," 9749","FALSE"," 8617",20,2.47479381354778,8.99305160860513,3.33855,20
"330","G7_T24_S1_2_a","24","Streptomycin Low","a","S1_2","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","14","S1_2_a","True Sample"," 4.000"," 41240"," 5797","FALSE"," 4394",9,1.62745879701049,4.11577189170101,2.06208,9
"331","G7_T24_S1_2_b","24","Streptomycin Low","b","S1_2","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","14","S1_2_b","True Sample"," 4.800"," 70985","10596","FALSE"," 8521",21,2.3686999365306,7.76734743842202,2.93585,21
"332","G7_T24_S1_2_c","24","Streptomycin Low","c","S1_2","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","14","S1_2_c","True Sample","20.600"," 70906","14673","FALSE","13036",50,2.98355164082789,8.28747047174271,6.133,50
"333","G7_T24_S1_2_d","24","Streptomycin Low","d","S1_2","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","14","S1_2_d","True Sample"," 4.400"," 57624"," 8401","FALSE"," 8296",10,1.66865064302223,3.95414332535862,1.64348,10
"334","G7_T24_S1_3_a","24","Streptomycin Low","a","S1_3","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","15","S1_3_a","True Sample"," 2.700"," 51335"," 8554","FALSE"," 4860",13,1.83017647058786,4.36581813342403,2.02626,13
"335","G7_T24_S1_3_b","24","Streptomycin Low","b","S1_3","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","15","S1_3_b","True Sample"," 3.300"," 65704","12373","FALSE"," 8745",15,2.06956124635929,5.81887923730786,2.61002,15
"336","G7_T24_S1_3_c","24","Streptomycin Low","c","S1_3","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","15","S1_3_c","True Sample"," 4.100"," 70045","10723","FALSE"," 7221",16,2.08958109933767,5.34541882639405,2.67289,16
"337","G7_T24_S1_3_d","24","Streptomycin Low","d","S1_3","Streptomycin","Low","Streptomycin Low","Streptomycin","Low","15","S1_3_d","True Sample"," 2.600"," 60240","12467","FALSE","10452",14,1.9800693112999,5.4553278477466,2.22946,14
"338","G7_T24_S2_1_a","24","Streptomycin High","a","S2_1","Streptomycin","High","Streptomycin High","Streptomycin","High","16","S2_1_a","True Sample"," 7.300"," 60901","11825","FALSE","11493",27,2.69897852238697,10.6970176714732,4.27111,27
"339","G7_T24_S2_1_b","24","Streptomycin High","b","S2_1","Streptomycin","High","Streptomycin High","Streptomycin","High","16","S2_1_b","True Sample"," 7.000"," 66143","13878","FALSE","12895",19,2.10007918316752,5.39037761535732,3.00234,19
"340","G7_T24_S2_1_c","24","Streptomycin High","c","S2_1","Streptomycin","High","Streptomycin High","Streptomycin","High","16","S2_1_c","True Sample"," 6.900"," 68921","11195","FALSE","10454",27,2.73372092242163,11.8233496968493,3.35614,27
